2*(~(x^y))+2*(~x)-y+(x&~y)+2,3*(~(x|y))+1
2*x-(x&y)-2*(x^y)-2*(~y)+2,-3*(~(x&y))+1
5*(~x&y)+3*(~(x^y))-(~y)-(~x|y),-2*x+3*y-1
2*x-2*(x&~y)+(~y)-(x|~y),-(~(x&y))-1
2*(~(x^d))+(~d)-x-(x&d),3*(~(x|d))
(~x)+2*(~x|y)+4*x-y-(x&y)-(x|y),2*(x|~y)-1
(x&~y)+2*(~x&y)+(~(x^y))-y,-(x&y)-1
-(x&y)-(~x&y)+(x^y)+(~(x|y))-(~(x&y)),-y
3*(x|t)-(~t)+4*(x|~t)-2*(~x|t)-(~(x&t)),5*x
2*y-2*(x&y)-(x^y)+(~y)+2,-x+1
-(~a)-2*a+2*(a|y)-(a&~y)-(~a&y)-1,-(~y)-1
-(~(x|y))-(~x&y)-(~(x^y))+(~y),-2*(~x|y)-1
3*(x&~y)-(x^y)+2*(~y)-(~(x&y))+1,2*x-3*y
x-(x|y)+(~(x|y))-2*(~(x^y))-(~x),-2*(~x|y)
(x|~y)+(~x)-2*(~(x&y))-x-(~x&y),-2*(x^y)
2*(~(x&y))+y-(x&y)-(x^y)-(x&~y)+1,2*(~x)+1
x-3*y+(x^y)-2*(~(x|y))+1,-4*(~x|y)-1
2*(x|y)+(x&~y)-(~x&y)-(x^y)+(~x)+2,x+1
3*(x^y)-4*(x&~y)-(~x&y)+(x|~y)-(~x),y
-e+3*(e^y)+5*(~(e^y))-(~y)-(e|~y),3*(~e|y)
(~x|y)-(x|y)+(x^y)-(~(x|y)),-(x|~y)-1
4*(~x)-2*(~(x&y))+3*x-y,~(x^y)-1
(~(x^y))-(~y)-(x|y)-(~x&y),-2*(x^y)
-(x&y)-3*(x&~y)+(x^y)+(~y)+2,-2*x+1
-(~y)+2*(x|~y)-(~(x&y))-x-(x&y)-1,-(x^y)-1
(~x|y)+(x&y)-(x|y)+2,-2*(x&~y)-(~x&y)+1
2*(~(x&y))-y+2*(x&y)-(x&~y)+2,~(x|y)+1
(~x)+(~x|y)+3*x-(x&y)-(x|y)-(x&~y),~(x^y)-1
(~(x^y))+(~x|y)+(~(x&y))-y,2*(~(x|y))-1
-(~(x|y))+(~(x&y))-x-y,-2*(x&y)
3*(~x&y)-(x^y)+3*(~y)-(x|~y)-(~x)+1,-2*(x&y)
-(x&~y)-(x^y)+2*(~(x|y))-2*(~x|y)-x,-3*(x|y)
-(x^y)-(~(x|y))+3*(~y)-(x|~y)+1,-2*y
-2*(x|~y)-(~x)+2*y-(x&~y)-(~x&y)-1,-3*(~y)-1
-(~(t^y))+3*(~t|y)-(~(t&y))-y+1,-2*(t&~y)
(~x&y)+(~(x^y))-(~(x&y))-y,(x&y)-(x|y)
(~(b|y))+2*(~(b^y))-(b|~y)-(~b)+1,-2*(b^y)
(~y)+4*t-y-(t&y)-(t|y)+1,3*(t&~y)-3*(~t&y)
3*(x^y)+2*(x|~y)-(~x)-(~x|y)-y,5*(x&~y)
-(x|~y)+3*(~x|y)+2*x-y-(x&y)-(~x&y),~(x^y)-1
-(~(x^y))+(x|~y)+2*(~x|y)-y+1,~(x|y)
-y-2*(~(x^y))+(~y)-2*(~x),-4*(~x|y)-1
(~y)-(x|~y)+x-2*(x&~y)-(~x&y)-1,-(x^y)-1
-4*(x&y)-(x|y)+2*(~x|y)-(~(x&y))+2,-3*x-y+1
-3*(x&~y)-(x^y)+(~y)-(~x)-y,2*(x&y)-3*(x|y)
3*(x|y)+4*(~(x|y))-2*(x|~y)-(~(x&y))+1,-x+y
2*(~(x&y))-x+3*(x&y)-(~x&y)+1,~(x^y)
d-(d|y)+(~(d|y))-2*(~y)-(~d),-2*(~(d&y))
3*(~x&y)+3*(~y)-(x|~y)-(~x)-x-y,-4*(x&y)-1
(x&~y)-(~y)+(~x)-y,-(x&y)
2*(~x)+x-(x&y)-(~x&y)-1,(x^y)+2*(~(x|y))-1
-3*(x^y)+2*(~y)-(x|~y)-2*x-y+2,-5*(x|y)+1
5*(~(x^y))-3*(x|~y)-(~x)-(~x|y)-y,-3*(x^y)
-(~x|y)-x+2*(~x&y)-(~y)+2,-3*(x|~y)+1
2*(~(x|t))+(x&~t)+2*(~x&t)-(~x),-(x&t)-1
2*x-4*(x&y)+(x|y)-2*(x^y)-(~y)+1,-(~x|y)+1
-(~y)+2*(x|~y)-2*(x&y)+(x|y)+1,x&~y
(x|y)+(x^y)-(x&~y)+(~(x^y))+2,y+1
2*(x&~y)+(~x&y)-2*(x^y)+2*(~y)-(x|~y),-2*y-1
(x^y)+3*(~(x|y))-(~y)-(~(x&y))-y+1,-2*(x|y)
x-y+(x|y)-2*(x&~y),-(~(x&y))-1
-5*(t&~y)+3*(t^y)+3*(~y)-(~t)-(~(t&y))+1,-t
2*(x|~y)-(~x|y)+2*(~(x&y))-(x&~y),2*(~y)-1
-(~(x^y))-3*(~y)+4*(x|~y)-2*x-y,-(x^y)
2*(x|~y)-2*(~x)+3*(~(x&y))-x-(x|y),3*(~y)
-x+(x&y)+(~x&y)-(~(x^y)),-2*(x|~y)-1
-(~x)+2*(~(x&y))+y-2*(-1),-(~(x^y))
2*y-(x|y)+2*(~y)-(x|~y),-x-1
-x+y-(x^y)-2*(~(x|y))-2*(~x&y),-2*(~(x&y))
-(~(x&y))+2*x+y-3*(x&y)-(x^y)-1,-(~x)-1
2*(~x|e)+x-2*e+(x|e)-(~x&e)+1,2*(x|~e)+1
2*(~x&y)+2*(~(x|y))-(~y)-(~x),-x+y
2*(~x&y)-(x^y)+2*(~y)-(~x)-(~(x&y))-x,-(x|y)
2*y-(x|y)-2*(~x&y)-2*(~(x^y)),-(x|~y)-(~x)
-2*y-(~(d|y))+(~d&y)-(~d),-2*(~d|y)
(~x)-y+(x&y)-2*(~(x|y))-(x&~y),-(~y)
-(~y)+3*(x|~y)+2*(~x)-(~x|y)-x,2*(~(x|y))-1
-(x&~y)-(~x&y)+(~x|y)-y,(x&y)-2*(x|y)-1
(x|~y)-(~x)-x-2*(x&~y)-(~x&y)+1,-2*(x^y)+1
(x^y)-(~(x^y))+2*(~x|y)-2*y+2,-2*(x&y)+1
3*(~(x&y))-x+y-(x^y)-(x&~y),3*(~x)
(x&~y)+1,-(~x|y)
2*(~(x^y))-(~y)-(x&y)+1,-2*(x&~y)-(~x&y)
(~y)+3*(x|~y)-3*(~x)-x-y+1,2*(x&~y)-5*(~x&y)
(c|~y)+2*(~c)+c-2*y-(~(c|y))-1,2*(~y)-1
3*(a&~y)+2*(~a|y)-2*(~(a&y))-a,a&y
(x|~y)+(~x|y)-(~(x&y))-x-y+2,(x&y)-2*(x|y)+1
-2*x+2*(x|y)-(x^y)-(~x&y)-(~x),-(~(x&y))
(~x&y)-2*(x^y)+(~y)-(~x)-x+1,(x&y)-2*(x|y)+1
-3*(x&~y)+2*(~x&y)+2*(~y)-(~x)-(~x|y)+1,-x+1
2*(x|y)+(~(x^y))+(x|~y)-(~x|y),2*x-1
-4*(~x)+3*(~x|y)+2*(~(x&y))-x-(x|y),~(x^y)
(~(x^y))-(~(x&y)),2*(x&y)-(x|y)
4*(x|y)-2*(~x&y)+(~(x^y))+(~y)+1,3*x-1
(~y)-(~x)+2*(~x|y)-(x&y)+1,~(x|y)
(~x)+2*(~x|y)+3*x-y-(x&y)-(~x&y),2*(x|~y)-1
2*(~x|a)+x-2*(x&a)-(x|a)-(~(x|a))+1,~x+1
(~(x|t))-(~t)+(x|~t)-(~(x&t))-(x|t),-2*(x^t)
2*(~x|y)+(~(x&y))-(~x&y)-(~(x^y))+1,~x
(x&~e)+(x^e)+(~(x^e))-(~e)-x-e+1,-(x&e)+1
-2*x+3*(x|y)-2*(~x&y)+(~y)+1,-(~x|y)-1
4*(x&~y)-(x^y)+(~(x^y))-(~y)-1,2*x-y-1
(~e)-(~x|e)+e-2*(x&~e)-(~x&e)-1,-(x^e)-1
-(~x&y)-2*(x^y)+(~y)-(x|~y)-x,(x&y)-3*(x|y)
(x|~y)+y-(x|y),~(x^y)
3*(~(x^y))-3*(~(x&y))-x-2*y-(x&~y),-5*(x^y)
2*(x^y)+2*(~(x^y))-(~x)-(x|y)+2,-(~x&y)+1
x-2*(x&y)-(~(x|y))+(~x&y)+2,-2*(~(x^y))+1
-(x|y)+2*(x&~y)+(~(x^y))-2*(~y),-(~(x&y))
4*(x&~y)+3*(~(x^y))-2*(x|~y)+(~x)+1,-y-1
4*(~(x^y))-(~y)-(~x)-2*(x&y)-2*(-1),-3*(x^y)
2*(~x|y)+x-2*y-(~(x|y)),x|~y
2*(~y)+2*(~x|y)-(x&y)-(x|y),(x^y)+4*(~(x|y))
2*(~(d|y))+(~y)-2*(d|~y)-(~d)+1,-d-y+1
(~y)+(~x)-2*(~(x&y)),-(x^y)
-(~(x^y))+(x|~y)+(~x|y)-(x|y),~(x|y)
2*(d|y)-2*(d&~y)-(~d&y)+(~y)+1,d&y
(x|~y)-(~x)-4*x-2*y-1,-2*(x&y)-3*(x|y)-1
(x^t)-2*(~t)+2*(x|~t)-x-(x|t),-(x&~t)
2*y-(a|y)-2*(~a&y),-2*(a^y)-(~(a|y))-1
3*(x|~e)-(~(x&e))-e-4*(x&~e)-2*(-1),-4*(x^e)
(x&~y)-(~(x|y))+3*(~x)-(~x|y)-y+1,-3*(x&y)
x+a-2*(x&a)-(x|a)-(~a)-1,-(x|~a)-1
3*(~(x&y))+3*y-4*(~x&y)-2*(-1),x|~y
(~(x^y))+(x|~y)+(~x|y)-2*(x&y),2*(~(x|y))-1
2*(~(x&y))+x-2*(x&~y)-(~x&y)+1,~(x|y)
(x|~y)-(x&y)-(~(x|y))+(~x&y)+1,-(~(x^y))
(x&~y)+3*(~x&y)+2*(~(x^y))-(~y)-(~x)-1,2*y-1
(~(x|y))+2*(~(x^y))-(x|~y)-(~x),-2*(x^y)-1
(x&~d)-(x^d)+(~(x&d))+1,-d
-(~y)+2*(~x^y&~z)+(x^~z)+3*(x&(y^~z))-2*(y^~z)-2*(x&y),~x&(y^z)
-(x&~y)-(~x&y)+(x|~y)-x,(x&y)-2*(x|y)-1
4*(x^y)+3*(~(x^y))-(~y)-(~x)-y-(x|y)+1,x&~y
2*(~x)+(~x|y)+4*x-2*y-(x^y)-1,3*(x|~y)-1
y+3*(~(x|y))+(x&~y)-(~(x^y))-(~y)+1,~x+1
2*(x^y)+2*(~x|y)-2*(~(x&y))-y-(x|y),-(x&~y)
2*(x|~y)-2*(~(x&y))-x-y-1,-(x&~y)-3*(~x&y)-1
3*(x&y)+3*(~x&y)+3*(~y)-(~x|y)-(~(x&y)),x-1
-y+(x|y)-(x&~y)+(~x&y)+2,-(x|~y)+1
2*(~x)-y-(x^y)-3*(~(x|y)),-(x|~y)
2*(x|~y)+x+2*y-2*(x&y)-(x|y)-(x&~y)+1,~(x^y)
a-4*(a^y)-4*(~y)-2*(~a),(~a|y)-7*(~(a&y))
-(~(x^y))-(~x)+2*(~x|y)-(x|y)-(~x&y),-(x^y)
-2*x+y-2*(~(x^y))-(~y)+1,-4*(x|~y)
2*(x|~y)-(~x|y)-2*(x&y)+(x|y)-2*(x&~y),~y
y+(x|y)+(~(x|y))-2*(~x&y)-(~(x^y)),x
-2*(~y)+2*x-(x&y)+2,-(x^y)-3*(~(x|y))+1
(~x&y)+(~(x|y))+(~(x^y))-(~x|y)+2,-(x|y)+1
3*(x|~y)-2*x+2*y-(x^y)-(~x&y)-1,3*(~(x^y))-1
(~x&y)+(~(x^y))+1,-(x&~y)
2*(x|y)-(x&~y)+(~x&y)+(~(x^y))-(~y),3*y
(~x&y)-(x^y)+(~y)-(x|~y)-y,-(x&y)-(x|y)
-(~x&e)+4*(x^e)+3*(~(x^e))-2*(~e)-e+1,x|e
3*(~(x&y))+y-2*(x^y),(x|~y)+2*(~x)
-2*(~(x|y))+(~y)+2*(~x)-y+1,-2*(x&y)
-3*(~(x|c))+(~c)+2*(~x|c)-c-(x&c),x^c
-(~y)-3*(~x)+6*(~x|y)-4*y-2*(-1),-3*(x^y)
x+y-3*(x&y)-(x^y)-(~y),-(x|~y)
-3*(x&y)-(x|y)+(~(x^y))+2,-2*x-2*y+1
2*x-(x&y)-(~x&y)-(~y),-2*(~x)-1
-(~x)+3*y-(x&y)-(x|y)+1,-2*(~y)
-(d&~y)-(d^y)+(~d)-(~d|y)-y,-2*(d|y)
-y-(x&y)+2*(x|y)-2*(x&~y),-(x|~y)-1
2*(d|~y)+2*(~d)-(d|y)+1,3*(~(d|y))
(~(x&y))-2*y+3*(x|y)-2*(x&~y)+1,-(~(x^y))-1
2*(x^y)+(~(x^y))+(~y)-(~x)+2,2*(x&~y)+1
x-(x|y)+(x^y)-(~x&y)-(x|~y)-1,-(~x|y)-1
(x|~y)+(~x)+(~x|y)-y+1,2*(~(x|y))
4*(x|y)-(x^y)+3*(~(x|y))-(~y)-(~x|y),x+y-1
-(~x)+x+3*y-4*(x&y)-(x|y)-(x&~y),-2*(x|~y)-1
(x|y)+(~(x|y))-(~x&y)-(~y),x&y
-4*y+3*(x|y)-(x&~y)-(~y)+1,-2*(~x|y)
(~x|y)-y+(x^y)-(~y)+2,-(x|~y)+1
-(~x)+2*(~(x&y))+y-(x|y)-(~x&y)-1,~y-1
-3*(~a)+2*(~a|y)+(~(a&y))-2*a-y+1,-(a|y)+1
3*(x^y)+2*(x|~y)-(~x)-y,4*(x&~y)-1
-2*y+2*(x|y)+(~(x^y))-(~y),x
5*(x&~c)-2*(x^c)+2*(~(x|c))-(x|~c),x-3*c-1
2*(e&~y)+(~y)-2*(e|~y)+2*(~e)-y+2,-4*(e&y)+1
-(~(x^y))+2*(x|~y)+(~x)-(~(x&y))+2,-(~x&y)+1
-(~(x|y))+(~x|y)+x-y-(x|y)-1,-(~x&y)-1
-(~x|y)+x-(x&~y),-(~x)
(~y)+2*(~x&~z)-(~x|y^~z)-(x|y&~z)+(y^~z)+(x&y)-3*(-1),-3*(x|y|z)
3*(~(x^y))+(~y)+2*(~x)-(~x|y)-x-y,5*(~(x|y))
2*(~x|y)+2*x-(x&y)-(x|y)+1,~(x^y)
(~(x^y))+(x|~y)+2*(~x)-y+2,3*(~(x|y))+1
(~(x|y))+(~(x^y))+(~y)-2*(~x)+1,-3*(~x&y)
-3*(c&y)-(c^y)+(~c)-(~(c&y)),-2*c-y
2*(~x|y)+2*x+y-2*(x&y)-(x|y)-(~x&y)+1,~(x^y)
-(x^y)-2*(~(x|y))-(x&~y)-(~x&y),-2*(~(x&y))
-(~x|y)+2*(x|y)-2*(x^y)+(x&~y)+1,-2*(~x)
2*(x&~c)-(x|~c)+2*(~x|c)-c,-(x&c)-1
-4*(x&y)-(x&~y)+(~(x^y))-(~y)+(~x|y)+1,-3*x
-(~x|y)+2*(~(x&y))+y-(x^y)-(x&~y)-1,~x-1
-(~x)+c-4*(x&c)+2*(x|c)+1,-3*(~(x^c))-1
2*(~x)-(~x|y)-(~(x&y))-y-1,-(x&y)-(x|y)-1
y+(x|y)+5*(~(x|y))-2*(~(x^y))-(~y),2*(~x)
(x^y)+(x|~y)+(~x)-2*(~(x&y))-x,-(x&~y)
(~x&y)-2*(x^y)+(~y)-(~x|y)-x,-2*(x|y)
(x^y)+2*(~(x|y))-2*(~x)+y-(x&y),x&~y
-2*x-2*y+3*(x|y)-(x^y)-(~x)-1,-(~x|y)-1
2*x-2*(x&y)+(~(x|y))-(~y)+2,-(~x|y)+1
2*(~x)+y+(x&~y)-2*(~x&y)+2,~(x|y)+1
2*(x|~y)-(~x|y)+(~(x&y))-x,2*(~y)
(d|y)+(d|~y)+(~d|y)-2*(~(d&y)),3*(d&y)
3*(x|y)-(x^y)+(~(x|y))-(~x)+1,2*x+y+1
y-(x|y)+2*(x^y)-3*(~x&y)-(x|~y)+1,-(~x|y)+1
-y+2*(t&y)-(~(t^y))+(~y)-(t|~y),-(~t|y)
-(~(x^y))+3*(~x|y)+x-2*y+2,~(x|y)+1
4*(~(x^d))-2*(~d)-2*(~x|d)-x-d,-3*(x^d)
(~(x&y))-2*x+2*(x|y)-(x^y)-(~x&y)-1,~x-1
-(x&~y)-(x^y)+(~x|y)-2*y+2,(x&y)-3*(x|y)+1
2*(~(x&y))-x+2*(x&y)-(~x&y)+1,~(x|y)
(~y)+2*(~x|y)+x-3*(-1),-(x^y)
c-(~c&y)-(c|~y)+2,-(~c|y)-(~(c&y))+1
(~(a^y))-3*(~a)+2*(~a|y)-2*a-y+1,-2*(a^y)+1
-(x&~y)+2*(x^y)+(~(x^y))-(~x),x|y
3*(x&~a)+2*(~(x^a))-2*(~a)+(~x)-(~x|a)+1,x+1
3*(~x&y)+2*(~(x|y))-(~x)+x-y,-(x&y)-1
-(~x|c)+x+c-(x|c),-(~x)
3*y-4*(x&y)-(x^y)+2,-2*(x|~y)+(~x)+1
(x&~y)+(~y)+2*(~x)-2*(~(x&y)),-(x|y)-1
-2*(x&y)-(x^y)+(~x),-2*x-y-1
-3*c+(x^c)+(x&~c)-2*(~c)-(~x),-3*(~x|c)
3*(~(x|y))-(~y)-(~x)-(~(x&y)),-2*(x^y)
(~y)-2*(~x)+2*(~x|y)-y+2,-2*(~x&y)+1
-(~x)+3*(~(x&y))-y-(~x&y),-(~(x^y))+3*(~y)
(~x)+x-(x&y)-(x&~y)-(~x&y)-1,~(x|y)-1
-x-3*y+(x^y)-2*(~(x|y))-2*(~x),-4*(~x|y)
(x|~y)+(~(x&y))-y-(~(x|y))-(x&~y),~y
-2*(x^c)+2*(~c)-(~x)+(x|c)+1,-3*(~x&c)
(c|y)+(~(c|y))-(~c&y)-(~y),c&y
(x^y)+(~y)+3*(~x)-4*(~(x&y))-2*y,-2*(x|y)
2*(~(x^y))+(~y)-2*(x|~y)+(x|y)+2,-(x&~y)+1
3*(x|~y)+2*(~x|y)-(~(x&y))-x+1,3*(~(x^y))
-(~x&y)-(x^y)+(~x|y)-x-y+1,(x&y)-3*(x|y)
(~x|a)+4*x+a-3*(x&a)-2*(x|a)-(~a)+1,-(~x)
(x^t)+2*(~(x|t))-(x|~t)+(~x)-(~(x&t))+1,-2*x
4*(x&~y)-(~x&y)-(x^y)+(~x|y)+1,2*x-2*y
2*(~(x&y))-x+4*(x&y)-(x|y)-(~x&y),2*(~(x^y))
2*(x&~y)+(~x&y)+(~(x^y))-(~y),x|y
-2*y+(x&y)+2*(x^y)-2*(x&~y)-(~y),-(x|~y)
(~(x|y))+(~y)+(~x|y)-2*(~(x&y)),-2*(x^y)-1
(x&~y)+(~x&y)+2*(~(x^y))-(~x|y)-x,-(x|y)-1
3*(x^y)+(~y)-(~x|y)-4*x-2*y-1,-7*(x&y)-1
(x^y)+(~(x|y))-(~x&y)+1,-y
(~y)+2*(~x^y&~z)-(~x&~y&z)-(x^y&z)+(x^y^z)+(x&~y&z)-(-1),2*(~x&~y)
(~x|y)-2*y+2*(x|y)-(x^y)-(x&~y)+1,~(x^y)+1
-x-2*b+2*(x|b)-(~x)+2,-2*(~x|b)+1
(x|y)-(x&~y)+(~x&y)+(x|~y),y-1
2*(~x&y)+(~(x|y))+(~y)-(~x)+1,-(x&y)
(x^y)+(~(x^y))+(~y)-(x|~y)-(~x),x&~y
2*(x^y)+2*(x|~y)-(~x|y)-(~(x&y))-x,2*(x&~y)
(x&~y)-2*(x^y)+(~(x&y))-x,-2*(x|y)-1
3*(x|y)-(x&~y)-(~x&y)+2*(~(x|y))-(~x|y)+1,x
(~x|y)+x-2*y-(~(x|y))-(~y)+1,-(~x)+1
-(x|y)+2*(~x&y)+3*(~y)-(~x)-(~(x&y))+1,-2*y
-4*(~(x|y))+2*(x|~y)+2*(~x)-x-y,x^y
-3*(~(x|y))+2*(~(x^y))+2*(~y)-x+2,-(~x&y)+1
-(x^y)-2*(~(x|y))+2*(~x|y)-x-y-1,-2*(x&~y)-1
2*(x|b)+3*(~(x|b))+(~b)-2*(x|~b)-(~x),~(x&b)
7*(~x|a)-(~(x&a))+3*x-4*a+3,4*(~(x^a))+1
-(~x)+(~x|y)+y-2*(x|y)-(~x&y),-2*(x^y)
2*(~x&y)+(~y)+(x|~y)-2*(~(x&y))-x-y,-(x|y)
(x|~y)+(~x)-2*(~(x&y))+y-2*(x&y),-(x&~y)
2*(~x|y)+x-2*(x&y)+1,~x
3*(~x&y)+2*(~y)+(~x)-2*(~x|y)-x-y+1,-5*(x&y)
(~(c^y))+2*(~c)-y-(~c&y),3*(~(c|y))
2*(x&y)+(x^y)+2*(~(x|y))-(~(x^y))-(~y),y
3*(x|y)-2*(x^y)+3*(~y)-2*(x|~y)+1,-(~x|y)-1
-(x^y)+(~(x|y))+2*x-y,-3*(~x&y)-1
-2*(x^y)-(~(x|y))+(~x)-y+1,(x&y)-2*(x|y)+1
2*(~x)+(~x|e)+4*x-e-2*(x&e)-(x|e)+2,2*(~e)+1
(~b)-3*(~x)+4*(~x|b)-x-b-1,2*(~(x^b))-1
(~(x|y))+(~(x^y))-(~y)+1,-2*(x&~y)-(~x&y)
2*(x&y)+2*(x^y)+(~(x|y))-(x&~y)+2,y+1
2*(~x|t)+(~(x&t))-t-(~x&t)+2,2*(~(x|t))+1
3*(~x)-(~(x&y))+2*x-(~x&y)+2,~(x^y)+1
(x|y)-2*(~x&y)+(~y)-(x|~y),x-y
3*(x^y)+(~y)+2*(x|~y)-(~x)-(~x|y),5*(x&~y)-1
2*(x|y)-(x^y)+2*(~(x|y))-(~(x^y))-(~y)-1,y-1
(x^y)+(~(x^y))-(x|~y)+(x&y)-(x|y),-(x&~y)
2*(~(x^y))-(~x)+x-2*y,-4*(~x&y)-1
(x^d)+(~(x^d))-(x|~d)+d-(x&d)-1,2*(~x&d)-1
(~y)+2*y-(x|y)-(~x&y),~(x^y)
3*(x&y)+2*(x^y)+3*(~(x|y))-(~(x^y))-(~x),x-1
2*(x&~y)+(~y)-(x|~y)+(~x)-x,-3*(x&y)-1
(~x|y)-2*y+(x&y)-(x&~y)-1,-(x^y)+(~(x|y))-1
-(x&~y)-(~x&y)+(~x|y)-x-2*y+1,-3*(x|y)
3*(x&~d)-(x^d)+(x|~d),2*x-2*d-1
3*y+3*(x^y)+3*(~(x|y))-4*(~x&y)-2*(-1),x|~y
-x+(~x&y)-(~(x^y))-(~y)+1,-3*(x|~y)
-(~x)+(~(x&y))+2*y-(x|y)+2,-(~y)+1
e-2*(e&y)+(e|y)-(e&~y),-(~(e^y))-1
2*(x&~y)+(~x&y)-(x^y)+(~(x|y))+1,-y
y-(x|y)+2*(x^y)-2*(~x&y)+1,-(~x|y)
(~(d|y))-(~(d^y))+2*(~d)-(~(d&y)),-2*d-1
(x|~y)+(~x)+(~x|y)-y+1,2*(~(x|y))
3*(x^y)+2*(x|~y)-2*(~x)-x-y,4*(x&~y)
-(~x)+2*y-3*(x&y)-(x&~y)+2,-2*(x|~y)+1
2*(x&~y)+(~(x|y))-(~(x&y)),x-y
-(x|y)+3*(~x&y)+2*(x|~y)-(~x|y),-(x&y)-1
(~e|y)+2*e-2*(e&y)-(e&~y)-(~e&y),e|~y
d+3*(~(x|d))-2*(~(x^d))-(~d),-(x|~d)+(~x)
(x&y)+(x^y)-2*(~x&y),(x|~y)-(~x)
-(x&~y)-2*(~x&y)+(~y)-(x|~y)-x-1,-2*(x|y)-1
(a&~y)+(~a&y)+(~(a^y))-(~y),y
-y+3*(x^y)+4*(~(x^y))-2*(x|~y)-2*(~x)-1,x-1
-(a&y)+2*(a|y)+3*(~(a|y))-2*(~y)-(~a)-1,y-1
-(x|~y)+3*(~x|y)+4*x-4*(x|y)+3,-3*(x^y)+1
(~x)-(~x|y)+(~(x&y))+1,-2*(x&y)
3*(x|y)-(x&~y)-(~x&y)+2*(~(x|y))-(x|~y),y-1
2*(x^y)+2*(x|~y)-(~x|y)+1,3*(x&~y)
-3*(~y)+4*(x|~y)+(~(x&y))-x-(x|y),2*(~(x^y))
(~(x&y))+y-2*(~x&y)-(~(x^y))+1,-(~x|y)
-(x^y)+(x|~y)-2*x-y+2,-3*(x|y)+1
-x+3*(x&~y)+(~(x^y))-(~y),-(~x|y)-1
3*(~x&y)+2*(~x|y)-(~(x&y))+1,-2*x+3*y
y-(x&~y)-2*(~x&y)-(~y)+1,(~x|y)-2*(~(x&y))+1
-(x&y)+2*(x|y)-(x^y)+(x|~y)+1,x
2*(~x&y)-2*(x^y)+(~y)-y+1,-2*(x|y)
(~y)+3*(~x)-4*(~(x&y))+2*x-2*(x&y),-(x^y)
(~(x&y))+x-(x&y)+2,-(~(x^y))+(~y)+1
-(x&~t)+2*(x^t)+2*(x|~t)-(~(x&t))+1,x
-(x&~y)+2*(x^y)+(~x|y)-2*y+2,-2*(x&y)+1
2*(x|y)+2*(~x&y)-(x^y)+(~(x^y))-(~y)-1,3*y-1
(~x&y)+3*(~(x^y))-2*(~x)-x,3*(x&y)-2*(x|y)-1
a-(a|y)-(a&~y)-(~y)-(~a)-1,-2*(~(a&y))-1
2*(~x&y)-(x^y)+(~(x^y))-(~y)-y-1,-2*(x&~y)-1
-y-(~(x|y))-(~x&y)-(~y)-1,-(~x|y)-(~(x&y))-1
2*(~(d^y))-(d|~y)-d+y,-3*(d&~y)-1
(~x&y)+(x^y)+(~(x^y))-y+1,-(x&y)
-y-(x^y)+(x&~y)-2*(~(x^y))-(~x),-3*(~x|y)
3*(b&y)+(b|y)+2*(~y)-(b|~y)-(~b|y),2*b
(~x|c)+3*x-2*c-(x&~c),2*(x|~c)-(~x)
-2*(x&y)+2*(~x&y)+2*(~(x^y))-(~x)+1,-x
